Date,ftse
19/08/2019,7189.65
16/08/2019,7117.15
15/08/2019,7067.01
14/08/2019,7147.88
13/08/2019,7250.9
12/8/2019,7226.72
9/8/2019,7253.85
8/8/2019,7285.9
7/8/2019,7198.7
6/8/2019,7171.69
5/8/2019,7223.85
2/8/2019,7407.06
1/8/2019,7584.87
31/07/2019,7586.78
30/07/2019,7646.77
29/07/2019,7686.61
26/07/2019,7549.06
25/07/2019,7489.05
24/07/2019,7501.46
23/07/2019,7556.86
22/07/2019,7514.93
19/07/2019,7508.7
18/07/2019,7493.09
17/07/2019,7535.46
16/07/2019,7577.2
15/07/2019,7531.72
12/7/2019,7505.97
11/7/2019,7509.82
10/7/2019,7530.69
9/7/2019,7536.47
8/7/2019,7549.27
5/7/2019,7553.14
4/7/2019,7603.58
3/7/2019,7609.32
2/7/2019,7559.19
1/7/2019,7497.5
28/06/2019,7425.63
27/06/2019,7402.33
26/06/2019,7416.39
25/06/2019,7422.43
24/06/2019,7416.69
21/06/2019,7407.5
20/06/2019,7424.44
19/06/2019,7403.54
18/06/2019,7443.04
17/06/2019,7357.31
14/06/2019,7345.78
13/06/2019,7368.57
12/6/2019,7367.62
11/6/2019,7398.45
10/6/2019,7375.54
7/6/2019,7331.94
6/6/2019,7259.85
5/6/2019,7220.22
4/6/2019,7214.29
3/6/2019,7184.8
31/05/2019,7161.71
30/05/2019,7218.16
29/05/2019,7185.3
28/05/2019,7268.95
24/05/2019,7277.73
23/05/2019,7231.04
22/05/2019,7334.19
21/05/2019,7328.92
20/05/2019,7310.88
17/05/2019,7348.62
16/05/2019,7353.51
15/05/2019,7296.95
14/05/2019,7241.6
13/05/2019,7163.68
10/5/2019,7203.29
9/5/2019,7207.41
8/5/2019,7271
7/5/2019,7260.47
3/5/2019,7380.64
2/5/2019,7351.31
1/5/2019,7385.26
30/04/2019,7418.22
29/04/2019,7440.66
26/04/2019,7428.19
25/04/2019,7434.13
24/04/2019,7471.75
23/04/2019,7523.07
18/04/2019,7459.88
17/04/2019,7471.32
16/04/2019,7469.92
15/04/2019,7436.87
12/4/2019,7437.06
11/4/2019,7417.95
10/4/2019,7421.91
9/4/2019,7425.57
8/4/2019,7451.89
5/4/2019,7446.87
4/4/2019,7401.94
3/4/2019,7418.28
2/4/2019,7391.12
1/4/2019,7317.38
29/03/2019,7279.19
28/03/2019,7234.33
27/03/2019,7194.19
26/03/2019,7196.29
25/03/2019,7177.58
22/03/2019,7207.59
21/03/2019,7355.31
20/03/2019,7291.01
19/03/2019,7324
18/03/2019,7299.19
15/03/2019,7228.28
14/03/2019,7185.43
13/03/2019,7159.19
12/3/2019,7151.15
11/3/2019,7130.62
8/3/2019,7104.31
7/3/2019,7157.55
6/3/2019,7196
5/3/2019,7183.43
4/3/2019,7134.39
1/3/2019,7106.73
28/02/2019,7074.73
27/02/2019,7107.2
26/02/2019,7151.12
25/02/2019,7183.74
22/02/2019,7178.6
